Revit_Category,Parameter_Name,Parameter_GUID,Data_Type,Group_Name,Binding_Type,Description,Has_Formula,Formula,Input_Parameters,Discipline,User_Modifiable,Hide_When_No_Value
Walls,MAT_TAG_5_TXT,c7efed83-bbd2-4a2e-b79a-292a1cfa3a18,TEXT,MAT_INFO,Type,ISO 23386/23387 property dictionary GUID tag [ISO 23386:2020],False,,,,1,0
Windows,MAT_TAG_5_TXT,c7efed83-bbd2-4a2e-b79a-292a1cfa3a18,TEXT,MAT_INFO,Type,ISO 23386/23387 property dictionary GUID tag [ISO 23386:2020],False,,,,1,0
Air Terminals,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Cable Trays,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Casework,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Ceilings,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Conduits,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Curtain Panels,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Curtain Wall Mullions,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Doors,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Ducts,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Electrical Equipment,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Electrical Fixtures,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Floors,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Furniture,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Generic Models,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Lighting Fixtures,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Mechanical Equipment,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Pipe Accessories,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Pipe Fittings,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Pipes,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Plumbing Equipment,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Plumbing Fixtures,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Ramps,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Roofs,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Rooms,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Specialty Equipment,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Sprinklers,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Stairs,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Walls,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Windows,MAT_TAG_6_TXT,d0d35a3a-abea-4898-9deb-4cdca865e8ee,TEXT,PER_SUST,Type,"ISO 22057 EPD environmental data tag: EPD ref, GWP, recycled content [ISO 22057:2022]",False,,,,1,0
Air Terminals,MAT_PERF_TAG_1_TXT,cc56b572-0538-4c37-b158-db6dbd51d3de,TEXT,MAT_INFO,Type,"Thermal and fire performance tag: U-value, R-value, fire rating [ISO 19650-1:2018]",False,,,,1,0
Cable Trays,MAT_PERF_TAG_1_TXT,cc56b572-0538-4c37-b158-db6dbd51d3de,TEXT,MAT_INFO,Type,"Thermal and fire performance tag: U-value, R-value, fire rating [ISO 19650-1:2018]",False,,,,1,0
Casework,MAT_PERF_TAG_1_TXT,cc56b572-0538-4c37-b158-db6dbd51d3de,TEXT,MAT_INFO,Type,"Thermal and fire performance tag: U-value, R-value, fire rating [ISO 19650-1:2018]",False,,,,1,0
Ceilings,MAT_PERF_TAG_1_TXT,cc56b572-0538-4c37-b158-db6dbd51d3de,TEXT,MAT_INFO,Type,"Thermal and fire performance tag: U-value, R-value, fire rating [ISO 19650-1:2018]",False,,,,1,0
Conduits,MAT_PERF_TAG_1_TXT,cc56b572-0538-4c37-b158-db6dbd51d3de,TEXT,MAT_INFO,Type,"Thermal and fire performance tag: U-value, R-value, fire rating [ISO 19650-1:2018]",False,,,,1,0
