ParameterGroup,ParameterName,GUID,DataType,BindingType,Description,RevitCategory
BLE_ELES,BLE_ROOF_DOWNPPE_SZ_MM,0593605e-34af-58ad-a721-1812417ba5db,LENGTH,Type,DOWNPIPESIZE(MM),Windows
BLE_ELES,BLE_ROOF_GUTTER_SZ_MM,90f79b75-88c0-5c4b-8c88-0e6c9e20d07f,LENGTH,Type,GUTTERSIZE(MM),Doors
BLE_ELES,BLE_ROOF_GUTTER_SZ_MM,90f79b75-88c0-5c4b-8c88-0e6c9e20d07f,LENGTH,Type,GUTTERSIZE(MM),Windows
BLE_ELES,BLE_ROOF_INS_R_VALUE_M_2K_W,3e3919d0-f25e-59de-83b2-11b60db5b9c5,ELECTRICAL_POWER,Type,INSULATIONR-VALUE(M^2K/W),Doors
BLE_ELES,BLE_ROOF_INS_R_VALUE_M_2K_W,3e3919d0-f25e-59de-83b2-11b60db5b9c5,ELECTRICAL_POWER,Type,INSULATIONR-VALUE(M^2K/W),Windows
BLE_ELES,BLE_ROOF_OVERHANG_MM,2aaca9a1-9c20-54b3-88f9-ac8e9f7766f2,LENGTH,Type,ROOFOVERHANG(MM),Doors
BLE_ELES,BLE_ROOF_OVERHANG_MM,2aaca9a1-9c20-54b3-88f9-ac8e9f7766f2,LENGTH,Type,ROOFOVERHANG(MM),Windows
BLE_ELES,BLE_ROOF_PLM_DRN_SYSTEM_TYPE_TXT,22ff6f18-d985-5dba-9dcf-fe95cb053aca,TEXT,Type,Drainage System Type,Doors
BLE_ELES,BLE_ROOF_PLM_DRN_SYSTEM_TYPE_TXT,22ff6f18-d985-5dba-9dcf-fe95cb053aca,TEXT,Type,Drainage System Type,Windows
BLE_ELES,BLE_ROOF_RAINWTR_HARVESTING_INTEGRATION_BOOL,184f2852-179b-54d4-a09c-3b6c51f9569f,YESNO,Type,RAINWATERHARVESTINGINTEGRATION,Doors
BLE_ELES,BLE_ROOF_RAINWTR_HARVESTING_INTEGRATION_BOOL,184f2852-179b-54d4-a09c-3b6c51f9569f,YESNO,Type,RAINWATERHARVESTINGINTEGRATION,Windows
